
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela"

="qoi22mean_pooled",="0.189***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(8.70)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.105***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(5.84)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.140***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(6.53)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.103***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(5.48)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.124***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(8.21)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0677***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(7.23)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.116***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(6.36)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.161***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(7.56)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.121***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(6.17)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.219***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(6.87)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.137***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(4.83)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.270***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(7.70)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.206***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.07)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0230",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.83)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0895**",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.90)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0459",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.58)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.120***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.88)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0928***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.62)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.113***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.51)"

="_cons",="-0.671***",="-0.370***",="-0.481***",="-0.358***",="-0.450***",="-0.222***",="-0.388***",="-0.551***",="-0.403***",="-0.883***",="-0.491***",="-1.042***",="-0.830***",="-0.0654",="-0.257**",="0.118",="-0.373***",="-0.267***",="-0.336***"
="",="(-8.73)",="(-5.88)",="(-6.57)",="(-5.52)",="(-8.25)",="(-7.26)",="(-6.39)",="(-7.59)",="(-6.20)",="(-6.90)",="(-4.86)",="(-7.72)",="(-6.09)",="(-0.87)",="(-2.94)",="(1.53)",="(-3.91)",="(-3.66)",="(-3.55)"

="N",="906",="906",="906",="906",="906",="888",="888",="888",="888",="906",="906",="906",="906",="906",="906",="906",="906",="906",="906"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
