
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela"

="qoi22mean_pooled",="0.102***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(11.60)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0402***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(5.45)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0542***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(6.12)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.00590",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.73)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0324***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(5.09)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.00914*",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(2.30)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.00653",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-0.83)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0234*",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(2.57)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.00649",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.78)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0928***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(7.10)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0399***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(3.39)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0825***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(5.65)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0469***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.31)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00887",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.76)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0181",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.39)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00287",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.23)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0129",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.98)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0311**",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.89)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0164"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.20)"

="_cons",="-0.362***",="-0.142***",="-0.186***",="0.0186",="-0.118***",="-0.0313*",="0.0197",="-0.0813**",="-0.0233",="-0.375***",="-0.144***",="-0.319***",="-0.190***",="-0.0256",="-0.0530",="-0.00932",="-0.0412",="-0.0900**",="-0.0500"
="",="(-11.64)",="(-5.50)",="(-6.17)",="(0.67)",="(-5.16)",="(-2.42)",="(0.76)",="(-2.62)",="(-0.84)",="(-7.12)",="(-3.43)",="(-5.68)",="(-3.34)",="(-0.82)",="(-1.44)",="(-0.28)",="(-1.02)",="(-2.94)",="(-1.24)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
