
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath"

="qoi22mean_pooled",="0.0794***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(9.27)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0280***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(3.94)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0363***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(4.25)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.0165*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-2.15)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0189**",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(3.10)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.00262",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.69)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.0146",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.95)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.00786",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.90)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="-0.00448",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-0.56)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0725***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(5.76)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0327**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(2.91)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0606***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(4.32)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0423**",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.12)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00722",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.65)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00268",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.22)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0168",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.42)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00478",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.38)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00928",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.90)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.000537"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.04)"

="_cons",="-0.283***",="-0.0990***",="-0.125***",="0.0554*",="-0.0695**",="-0.00991",="0.0468",="-0.0281",="0.0134",="-0.293***",="-0.118**",="-0.235***",="-0.171**",="0.0181",="0.00630",="0.0432",="0.0134",="-0.0277",="0.000278"
="",="(-9.30)",="(-3.99)",="(-4.29)",="(2.10)",="(-3.15)",="(-0.80)",="(1.88)",="(-0.95)",="(0.51)",="(-5.78)",="(-2.94)",="(-4.34)",="(-3.15)",="(0.61)",="(0.18)",="(1.37)",="(0.35)",="(-0.94)",="(0.01)"

="N",="895",="895",="895",="895",="895",="877",="877",="877",="877",="895",="895",="895",="895",="895",="895",="895",="895",="895",="895"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
