
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr"

="qoi22mean_pooled",="0.127***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(13.93)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0543***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(6.94)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0732***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(7.80)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.00675",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.79)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0484***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(7.24)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0189***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(4.48)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.0106",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.26)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0467***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(4.83)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0244**",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(2.73)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.121***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(8.76)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0579***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(4.62)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.118***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(7.63)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0734***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.87)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0111",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.90)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0284*",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.07)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00315",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.24)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0280*",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.01)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0415***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.64)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0307*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.11)"

="_cons",="-0.451***",="-0.191***",="-0.250***",="-0.0247",="-0.176***",="-0.0624***",="-0.0365",="-0.160***",="-0.0823**",="-0.489***",="-0.208***",="-0.454***",="-0.295***",="-0.0313",="-0.0820*",="0.00693",="-0.0875*",="-0.119***",="-0.0915*"
="",="(-13.95)",="(-6.98)",="(-7.84)",="(-0.84)",="(-7.27)",="(-4.55)",="(-1.31)",="(-4.87)",="(-2.78)",="(-8.78)",="(-4.65)",="(-7.65)",="(-4.89)",="(-0.94)",="(-2.10)",="(0.20)",="(-2.05)",="(-3.68)",="(-2.14)"

="N",="896",="896",="896",="896",="896",="877",="877",="877",="877",="896",="896",="896",="896",="896",="896",="896",="896",="896",="896"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
