
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela",="va_2yrela"

="qoi10mean_pooled",="0.00747",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.87)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0257**",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-3.10)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.00241",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.22)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00198",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.23)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00173",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.18)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="0.0132",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.30)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.00978",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-0.94)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="0.00767",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(1.12)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.00850",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.63)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.00381",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.22)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0142",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.84)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.00418",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.24)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.00269",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.15)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00364",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.17)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00540"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.26)"

="_cons",="-0.00175",="0.0561***",="0.0108",="0.0165",="0.0159",="-0.0154",="0.0335",="-0.00287",="0.0332*",="0.0192",="-0.0111",="0.0196",="0.00852",="0.00734",="0.00416"
="",="(-0.10)",="(3.93)",="(0.56)",="(0.97)",="(0.85)",="(-0.66)",="(1.56)",="(-0.20)",="(2.58)",="(0.63)",="(-0.39)",="(0.67)",="(0.30)",="(0.23)",="(0.13)"

="N",="562",="562",="419",="562",="562",="419",="519",="558",="562",="562",="562",="562",="562",="562",="562"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
