
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk"

="qoi10mean_pooled",="-0.0184*",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-2.24)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0208**",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-2.59)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.00302",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.29)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="0.0151",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(1.84)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00542",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.57)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0327***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-3.43)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="0.00726",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.74)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0107",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-1.64)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="0.00203",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.40)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0167",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.99)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0405*",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-2.50)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.000430",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.03)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00721",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.41)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0236",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.14)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0126"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.64)"

="_cons",="0.0234",="0.0231",="-0.00791",="-0.0416*",="-0.00185",="0.0622**",="-0.0290",="0.00971",="-0.0169",="0.0169",="0.0557*",="-0.0127",="-0.000891",="0.0225",="0.00786"
="",="(1.46)",="(1.68)",="(-0.43)",="(-2.55)",="(-0.10)",="(2.81)",="(-1.42)",="(0.72)",="(-1.36)",="(0.58)",="(2.05)",="(-0.45)",="(-0.03)",="(0.74)",="(0.25)"

="N",="562",="562",="419",="562",="562",="419",="519",="558",="562",="562",="562",="562",="562",="562",="562"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
