
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela"

="qoi10mean_pooled",="-0.0140*",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-2.02)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0489***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-7.57)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.00474",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.52)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="0.00599",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.87)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0121",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-1.52)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0278***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-3.38)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.00991",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.17)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.00356",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-0.64)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0107*",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-2.54)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.000593",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.04)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0118",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-0.86)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0108",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.76)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.00137",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.09)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00732",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.42)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00876"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.53)"

="_cons",="0.0283*",="0.0839***",="0.0109",="-0.0105",="0.0238",="0.0669***",="0.0205",="0.00845",="0.0271**",="0.00231",="0.0210",="-0.0166",="-0.000812",="0.0120",="-0.0125"
="",="(2.09)",="(7.55)",="(0.69)",="(-0.76)",="(1.59)",="(3.50)",="(1.17)",="(0.74)",="(2.61)",="(0.09)",="(0.91)",="(-0.70)",="(-0.04)",="(0.47)",="(-0.48)"

="N",="562",="562",="419",="562",="562",="419",="519",="558",="562",="562",="562",="562",="562",="562",="562"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
