
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath"

="qoi10mean_pooled",="-0.00948",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-1.44)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0414***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-6.69)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.00127",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-0.15)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="0.00923",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(1.41)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00731",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.97)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0162*",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-2.08)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.00401",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-0.50)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.00204",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-0.39)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.00694",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.74)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0149",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-1.11)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0188",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-1.45)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.00161",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.12)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00271",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.19)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0146",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.89)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00246"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.16)"

="_cons",="0.0200",="0.0716***",="0.00509",="-0.0165",="0.0153",="0.0403*",="0.00886",="0.00577",="0.0185",="0.0274",="0.0332",="0.00435",="0.00585",="0.0230",="0.00556"
="",="(1.56)",="(6.73)",="(0.34)",="(-1.26)",="(1.08)",="(2.23)",="(0.53)",="(0.53)",="(1.87)",="(1.18)",="(1.52)",="(0.19)",="(0.27)",="(0.96)",="(0.22)"

="N",="562",="562",="419",="562",="562",="419",="519",="558",="562",="562",="562",="562",="562",="562",="562"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
