
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr",="va_enr"

="qoi10mean_pooled",="-0.0256***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-3.55)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0650***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-10.10)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.0190*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-2.02)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00594",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.82)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0267**",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-3.21)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0396***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-4.70)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0211*",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-2.38)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.00821",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-1.41)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0195***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-4.48)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.00463",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.31)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.00797",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-0.55)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0156",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(1.03)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.00814",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.53)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00408",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.22)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0282"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.61)"

="_cons",="0.0512***",="0.112***",="0.0361*",="0.0135",="0.0516**",="0.0947***",="0.0438*",="0.0184",="0.0489***",="-0.00617",="0.0151",="-0.0240",="-0.0107",="0.00775",="-0.0425"
="",="(3.63)",="(10.08)",="(2.20)",="(0.93)",="(3.29)",="(4.83)",="(2.40)",="(1.54)",="(4.55)",="(-0.24)",="(0.63)",="(-0.96)",="(-0.45)",="(0.29)",="(-1.54)"

="N",="563",="563",="419",="563",="563",="419",="519",="559",="563",="563",="563",="563",="563",="563",="563"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
