
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math"

="qoi10mean_pooled",="-0.0900***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-5.41)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.152***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-9.87)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.104***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-4.83)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.0855***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-5.20)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.120***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-6.35)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.143***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-7.53)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.108***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-5.44)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0340*",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-2.51)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0795***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-8.11)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.139***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(4.04)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0753*",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(2.23)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.135***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(3.88)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0801*",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.23)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0814",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.92)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.207***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.19)"

="_cons",="0.168***",="0.251***",="0.175***",="0.163***",="0.218***",="0.326***",="0.215***",="0.0638*",="0.187***",="-0.244***",="-0.131*",="-0.228***",="-0.128*",="-0.124*",="-0.331***"
="",="(5.19)",="(9.51)",="(4.70)",="(4.98)",="(6.14)",="(7.40)",="(5.26)",="(2.30)",="(7.73)",="(-4.10)",="(-2.31)",="(-3.95)",="(-2.31)",="(-1.99)",="(-5.25)"

="N",="568",="568",="425",="568",="568",="425",="525",="564",="568",="568",="568",="568",="568",="568",="568"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
