
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk"

="qoi9mean_pooled",="0.0258",="",="",="",="",="",="",="",="",="",=""
="",="(1.73)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.00971",="",="",="",="",="",="",="",="",=""
="",="",="(0.78)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.0119",="",="",="",="",="",="",="",=""
="",="",="",="(0.86)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0136",="",="",="",="",="",="",=""
="",="",="",="",="(0.90)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.00788",="",="",="",="",="",=""
="",="",="",="",="",="(0.55)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.0195",="",="",="",="",=""
="",="",="",="",="",="",="(1.48)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.0134",="",="",="",=""
="",="",="",="",="",="",="",="(0.96)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0155",="",="",=""
="",="",="",="",="",="",="",="",="(1.10)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0234",="",=""
="",="",="",="",="",="",="",="",="",="(1.46)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.0245",=""
="",="",="",="",="",="",="",="",="",="",="(1.58)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0137"
="",="",="",="",="",="",="",="",="",="",="",="(1.23)"

="_cons",="-0.0278",="-0.00119",="-0.00403",="-0.00776",="0.00319",="-0.0200",="-0.00730",="-0.00844",="-0.0247",="-0.0283",="-0.00738"
="",="(-1.04)",="(-0.05)",="(-0.15)",="(-0.27)",="(0.12)",="(-0.77)",="(-0.27)",="(-0.31)",="(-0.84)",="(-0.96)",="(-0.35)"

="N",="344",="343",="344",="344",="344",="300",="344",="272",="344",="299",="341"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
