
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath"

="qoi9mean_pooled",="0.0268",="",="",="",="",="",="",="",="",="",=""
="",="(1.79)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="0.0101",="",="",="",="",="",="",="",="",=""
="",="",="(0.81)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="0.0125",="",="",="",="",="",="",="",=""
="",="",="",="(0.90)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.0138",="",="",="",="",="",="",=""
="",="",="",="",="(0.91)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.00788",="",="",="",="",="",=""
="",="",="",="",="",="(0.54)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="0.0206",="",="",="",="",=""
="",="",="",="",="",="",="(1.56)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="0.0140",="",="",="",=""
="",="",="",="",="",="",="",="(1.00)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.0180",="",="",=""
="",="",="",="",="",="",="",="",="(1.27)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.0247",="",=""
="",="",="",="",="",="",="",="",="",="(1.54)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="0.0260",=""
="",="",="",="",="",="",="",="",="",="",="(1.68)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0147"
="",="",="",="",="",="",="",="",="",="",="",="(1.32)"

="_cons",="-0.0297",="-0.00215",="-0.00529",="-0.00826",="0.00305",="-0.0223",="-0.00858",="-0.0135",="-0.0273",="-0.0315",="-0.00951"
="",="(-1.10)",="(-0.08)",="(-0.20)",="(-0.28)",="(0.11)",="(-0.86)",="(-0.32)",="(-0.49)",="(-0.92)",="(-1.07)",="(-0.45)"

="N",="344",="343",="344",="344",="344",="300",="344",="272",="344",="299",="341"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
