
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk",="va_4yrdk"

="qoi9mean_pooled",="-0.0341**",="",="",="",="",="",="",="",="",="",=""
="",="(-2.60)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0147",="",="",="",="",="",="",="",="",=""
="",="",="(-1.33)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0210",="",="",="",="",="",="",="",=""
="",="",="",="(-1.73)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.0103",="",="",="",="",="",="",=""
="",="",="",="",="(-0.78)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.00880",="",="",="",="",="",=""
="",="",="",="",="",="(-0.69)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0312**",="",="",="",="",=""
="",="",="",="",="",="",="(-2.74)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0212",="",="",="",=""
="",="",="",="",="",="",="",="(-1.74)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0170",="",="",=""
="",="",="",="",="",="",="",="",="(-1.39)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.0192",="",=""
="",="",="",="",="",="",="",="",="",="(-1.36)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0417**",=""
="",="",="",="",="",="",="",="",="",="",="(-3.13)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0298**"
="",="",="",="",="",="",="",="",="",="",="",="(-3.06)"

="_cons",="0.0475*",="0.0159",="0.0259",="0.00632",="0.00329",="0.0495*",="0.0270",="0.0206",="0.0218",="0.0674**",="0.0427*"
="",="(2.01)",="(0.71)",="(1.13)",="(0.25)",="(0.13)",="(2.21)",="(1.15)",="(0.86)",="(0.83)",="(2.67)",="(2.31)"

="N",="344",="343",="344",="344",="344",="300",="344",="272",="344",="299",="341"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
