
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk",="va_enrdk"

="qoi9mean_pooled",="-0.00404",="",="",="",="",="",="",="",="",="",=""
="",="(-0.37)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.00307",="",="",="",="",="",="",="",="",=""
="",="",="(-0.33)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.00614",="",="",="",="",="",="",="",=""
="",="",="",="(-0.61)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.00401",="",="",="",="",="",="",=""
="",="",="",="",="(0.36)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.000120",="",="",="",="",="",=""
="",="",="",="",="",="(0.01)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.00752",="",="",="",="",=""
="",="",="",="",="",="",="(-0.78)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.00495",="",="",="",=""
="",="",="",="",="",="",="",="(-0.49)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.000407",="",="",=""
="",="",="",="",="",="",="",="",="(0.04)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.00587",="",=""
="",="",="",="",="",="",="",="",="",="(0.50)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0114",=""
="",="",="",="",="",="",="",="",="",="",="(-1.01)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0116"
="",="",="",="",="",="",="",="",="",="",="",="(-1.42)"

="_cons",="0.0129",="0.0117",="0.0171",="-0.00203",="0.00541",="0.0218",="0.0151",="0.00885",="-0.00513",="0.0285",="0.0276"
="",="(0.65)",="(0.63)",="(0.90)",="(-0.10)",="(0.27)",="(1.16)",="(0.77)",="(0.43)",="(-0.24)",="(1.34)",="(1.78)"

="N",="344",="343",="344",="344",="344",="300",="344",="272",="344",="299",="341"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
