
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath"

="qoi9mean_pooled",="-0.00363",="",="",="",="",="",="",="",="",="",=""
="",="(-0.33)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.00289",="",="",="",="",="",="",="",="",=""
="",="",="(-0.31)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.00588",="",="",="",="",="",="",="",=""
="",="",="",="(-0.58)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.00409",="",="",="",="",="",="",=""
="",="",="",="",="(0.37)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.000115",="",="",="",="",="",=""
="",="",="",="",="",="(0.01)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.00706",="",="",="",="",=""
="",="",="",="",="",="",="(-0.74)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.00469",="",="",="",=""
="",="",="",="",="",="",="",="(-0.46)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="0.00150",="",="",=""
="",="",="",="",="",="",="",="",="(0.14)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.00646",="",=""
="",="",="",="",="",="",="",="",="",="(0.55)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0107",=""
="",="",="",="",="",="",="",="",="",="",="(-0.95)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0111"
="",="",="",="",="",="",="",="",="",="",="",="(-1.36)"

="_cons",="0.0120",="0.0113",="0.0166",="-0.00226",="0.00535",="0.0208",="0.0145",="0.00661",="-0.00629",="0.0272",="0.0267"
="",="(0.61)",="(0.61)",="(0.87)",="(-0.11)",="(0.26)",="(1.10)",="(0.74)",="(0.32)",="(-0.29)",="(1.27)",="(1.72)"

="N",="344",="343",="344",="344",="344",="300",="344",="272",="344",="299",="341"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
