
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath"

="qoi22mean_pooled",="0.0385*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(2.56)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.00756",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.64)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.00918",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.65)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="-0.00887",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.65)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0108",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(1.14)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.00329",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.54)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="-0.0383**",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-2.96)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="-0.0376*",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-2.55)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="-0.0217",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.54)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.00741",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.36)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0605**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-3.16)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0156",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.65)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0152",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.64)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0343",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.84)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0322",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.55)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0340",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.67)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0164",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.79)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0158",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.95)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0782***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-3.50)"

="_cons",="-0.129*",="-0.0188",="-0.0233",="0.0382",="-0.0311",="-0.00231",="0.134**",="0.135**",="0.0797",="-0.0221",="0.224**",="0.0680",="0.0690",="0.0994*",="0.0985",="0.0970",="0.0581",="0.0526",="0.237***"
="",="(-2.41)",="(-0.45)",="(-0.49)",="(0.82)",="(-0.91)",="(-0.12)",="(3.14)",="(2.71)",="(1.72)",="(-0.26)",="(3.27)",="(0.73)",="(0.72)",="(1.99)",="(1.68)",="(1.81)",="(0.91)",="(1.11)",="(3.62)"

="N",="811",="811",="811",="811",="811",="793",="793",="793",="793",="811",="811",="811",="811",="811",="811",="811",="811",="811",="811"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
