
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela"

="qoi22mean_pooled",="0.0880***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(6.04)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0793***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(6.97)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.102***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(7.53)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0641***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(4.87)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0629***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(6.89)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0331***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(5.60)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.0771***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(6.13)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.119***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(8.52)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0909***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(6.71)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.122***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(6.07)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.117***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(6.31)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.146***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(6.25)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0709**",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.04)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.123***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.83)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.150***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.55)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.150***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.73)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.113***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.62)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.123***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.76)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.175***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.22)"

="_cons",="-0.318***",="-0.285***",="-0.350***",="-0.226***",="-0.231***",="-0.112***",="-0.260***",="-0.409***",="-0.306***",="-0.497***",="-0.424***",="-0.567***",="-0.290**",="-0.333***",="-0.428***",="-0.400***",="-0.352***",="-0.355***",="-0.519***"
="",="(-6.14)",="(-7.10)",="(-7.65)",="(-4.98)",="(-7.04)",="(-5.88)",="(-6.27)",="(-8.64)",="(-6.84)",="(-6.14)",="(-6.39)",="(-6.31)",="(-3.09)",="(-6.94)",="(-7.65)",="(-7.83)",="(-5.70)",="(-7.88)",="(-8.30)"

="N",="811",="811",="811",="811",="811",="793",="793",="793",="793",="811",="811",="811",="811",="811",="811",="811",="811",="811",="811"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
