
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela"

="qoi22mean_pooled",="0.130***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(5.34)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.113***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(5.93)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.132***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(5.82)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.149***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(6.95)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.120***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(8.01)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0765***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(8.01)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.156***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(7.64)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.185***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(7.97)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.171***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(7.75)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.172***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(5.14)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.122***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(3.91)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.243***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(6.27)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.167***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.33)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0625*",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.05)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.138***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.12)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0181",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.55)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.150***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.45)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.109***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.04)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.159***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.38)"

="_cons",="-0.463***",="-0.400***",="-0.450***",="-0.516***",="-0.435***",="-0.246***",="-0.515***",="-0.626***",="-0.566***",="-0.698***",="-0.440***",="-0.940***",="-0.673***",="-0.170*",="-0.393***",="-0.0504",="-0.461***",="-0.311***",="-0.468***"
="",="(-5.36)",="(-5.96)",="(-5.85)",="(-6.98)",="(-8.05)",="(-8.03)",="(-7.66)",="(-7.99)",="(-7.77)",="(-5.16)",="(-3.94)",="(-6.29)",="(-4.34)",="(-2.08)",="(-4.14)",="(-0.58)",="(-4.48)",="(-4.07)",="(-4.40)"

="N",="820",="820",="820",="820",="820",="802",="802",="802",="802",="820",="820",="820",="820",="820",="820",="820",="820",="820",="820"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
