
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela"

="qoi22mean_pooled",="0.102***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(10.22)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0668***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(8.38)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0852***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(9.03)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0386***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(4.11)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0567***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(8.90)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0273***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(6.53)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.0218*",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(2.39)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0548***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(5.36)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0474***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(4.86)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0989***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(7.00)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0338*",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(2.51)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0946***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(5.69)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0385*",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.32)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0627***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.85)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0843***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.91)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0851***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.10)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0697***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.85)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0793***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.00)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0618***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.96)"

="_cons",="-0.359***",="-0.232***",="-0.286***",="-0.130***",="-0.201***",="-0.0843***",="-0.0689*",="-0.182***",="-0.154***",="-0.396***",="-0.118*",="-0.362***",="-0.152*",="-0.165***",="-0.235***",="-0.221***",="-0.211***",="-0.222***",="-0.178***"
="",="(-10.13)",="(-8.27)",="(-8.94)",="(-4.02)",="(-8.76)",="(-6.29)",="(-2.30)",="(-5.28)",="(-4.77)",="(-6.95)",="(-2.45)",="(-5.65)",="(-2.28)",="(-4.76)",="(-5.84)",="(-6.02)",="(-4.79)",="(-6.91)",="(-3.90)"

="N",="811",="811",="811",="811",="811",="793",="793",="793",="793",="811",="811",="811",="811",="811",="811",="811",="811",="811",="811"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
