
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath",="va_enrmath"

="qoi22mean_pooled",="0.0754***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(7.74)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.0485***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(6.26)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.0594***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(6.45)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.0188*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(2.08)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.0396***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(6.36)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.0182***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(4.51)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.00777",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.89)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.0298**",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(3.02)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.0261**",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(2.77)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.0759***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(5.56)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0191",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(1.49)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0620***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(3.86)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0348*",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.19)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0297*",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.38)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0455**",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.29)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0420**",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.10)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0364**",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.63)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0461***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.18)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0288"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.91)"

="_cons",="-0.265***",="-0.168***",="-0.199***",="-0.0620*",="-0.139***",="-0.0555***",="-0.0230",="-0.0981**",="-0.0833**",="-0.303***",="-0.0658",="-0.236***",="-0.137*",="-0.0766*",="-0.126**",="-0.108**",="-0.109*",="-0.128***",="-0.0816"
="",="(-7.65)",="(-6.16)",="(-6.36)",="(-1.99)",="(-6.23)",="(-4.27)",="(-0.80)",="(-2.94)",="(-2.68)",="(-5.51)",="(-1.43)",="(-3.82)",="(-2.15)",="(-2.30)",="(-3.22)",="(-3.03)",="(-2.57)",="(-4.09)",="(-1.85)"

="N",="811",="811",="811",="811",="811",="793",="793",="793",="793",="811",="811",="811",="811",="811",="811",="811",="811",="811",="811"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
