
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)"
="",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math"

="qoi22mean_pooled",="0.294***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(12.08)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi23mean_pooled",="",="0.212***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(10.89)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.277***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(12.13)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi25mean_pooled",="",="",="",="0.244***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(11.03)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi26mean_pooled",="",="",="",="",="0.215***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(14.43)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="",="0.122***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(12.50)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi28mean_pooled",="",="",="",="",="",="",="0.193***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(8.97)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi29mean_pooled",="",="",="",="",="",="",="",="0.285***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(12.03)",="",="",="",="",="",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="",="",="",="0.256***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(11.23)",="",="",="",="",="",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="",="",="",="0.314***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(9.03)",="",="",="",="",="",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.126***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(3.76)",="",="",="",="",="",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.377***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(9.34)",="",="",="",="",="",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.154***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.71)",="",="",="",="",="",=""

="qoi35mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.274***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.74)",="",="",="",="",=""

="qoi36mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.364***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(10.68)",="",="",="",=""

="qoi37mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.298***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.77)",="",="",=""

="qoi38mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.352***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(10.29)",="",=""

="qoi39mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.322***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(11.98)",=""

="qoi40mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.329***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.74)"

="_cons",="-1.048***",="-0.747***",="-0.940***",="-0.839***",="-0.774***",="-0.389***",="-0.638***",="-0.966***",="-0.844***",="-1.268***",="-0.452***",="-1.456***",="-0.619***",="-0.732***",="-1.029***",="-0.784***",="-1.080***",="-0.915***",="-0.965***"
="",="(-12.09)",="(-10.90)",="(-12.14)",="(-11.04)",="(-14.42)",="(-12.46)",="(-8.98)",="(-12.04)",="(-11.24)",="(-9.04)",="(-3.77)",="(-9.35)",="(-3.72)",="(-8.75)",="(-10.69)",="(-8.78)",="(-10.30)",="(-11.99)",="(-8.75)"

="N",="820",="820",="820",="820",="820",="802",="802",="802",="802",="820",="820",="820",="820",="820",="820",="820",="820",="820",="820"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
