
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk"

="qoi10mean_pooled",="0.00229",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.26)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.00519",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-0.53)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.00402",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.35)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00968",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-1.04)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00198",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.19)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="0.0133",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.21)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0129",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.17)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="0.00956",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(1.24)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0104",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.78)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0184",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.96)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.000498",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.03)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0155",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.75)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0198",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.98)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0206",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.85)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00687"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.30)"

="_cons",="0.0115",="0.0246",="0.0133",="0.0356",="0.0197",="-0.0104",="0.0438",="-0.00352",="0.0415**",="0.0476",="0.0151",="0.0417",="0.0465",="0.0461",="0.0268"
="",="(0.65)",="(1.48)",="(0.66)",="(1.87)",="(1.00)",="(-0.41)",="(1.92)",="(-0.22)",="(2.84)",="(1.44)",="(0.50)",="(1.22)",="(1.48)",="(1.30)",="(0.73)"

="N",="506",="506",="369",="506",="506",="369",="466",="502",="506",="506",="506",="506",="506",="506",="506"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
