
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath",="va_2yrmath"

="qoi10mean_pooled",="0.00127",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.14)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.00592",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-0.60)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.00337",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.29)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.0108",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-1.15)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00263",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.25)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="0.0145",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.32)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0131",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.18)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="0.00942",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(1.22)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0109",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.85)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0193",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-1.01)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.000556",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.03)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0173",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.84)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0195",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.96)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0205",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.85)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00474"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.20)"

="_cons",="0.0135",="0.0258",="0.0143",="0.0377*",="0.0209",="-0.0135",="0.0442",="-0.00324",="0.0426**",="0.0492",="0.0150",="0.0448",="0.0460",="0.0459",="0.0234"
="",="(0.76)",="(1.54)",="(0.70)",="(1.98)",="(1.06)",="(-0.53)",="(1.93)",="(-0.20)",="(2.91)",="(1.48)",="(0.49)",="(1.30)",="(1.46)",="(1.29)",="(0.63)"

="N",="506",="506",="369",="506",="506",="369",="466",="502",="506",="506",="506",="506",="506",="506",="506"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
