
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr"

="qoi10mean_pooled",="0.00231",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.26)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.00483",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-0.49)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.00440",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.38)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00962",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-1.03)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00133",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.13)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="0.0161",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.46)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0121",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.09)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="0.0100",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(1.30)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.00996",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.70)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0202",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-1.05)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0000909",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.00)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.0185",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.90)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0201",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.99)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0211",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.87)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00672"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.29)"

="_cons",="0.0116",="0.0242",="0.0127",="0.0356",="0.0186",="-0.0169",="0.0423",="-0.00434",="0.0405**",="0.0509",="0.0159",="0.0469",="0.0470",="0.0469",="0.0267"
="",="(0.66)",="(1.44)",="(0.62)",="(1.86)",="(0.94)",="(-0.66)",="(1.84)",="(-0.27)",="(2.76)",="(1.53)",="(0.52)",="(1.36)",="(1.49)",="(1.32)",="(0.72)"

="N",="507",="507",="369",="507",="507",="369",="466",="503",="507",="507",="507",="507",="507",="507",="507"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
