
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela"

="qoi10mean_pooled",="-0.0207*",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-2.27)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0295**",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-2.96)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.0193",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-1.65)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.000918",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.10)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0253*",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-2.40)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0628***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-5.86)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0158",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.42)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0213**",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-2.73)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0135*",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-2.27)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.0107",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.55)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0180",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-0.97)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0449*",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(2.15)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0239",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.16)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0109",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.44)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0363"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.53)"

="_cons",="0.0304",="0.0395*",="0.0230",="-0.00782",="0.0377",="0.135***",="0.0201",="0.0337*",="0.0235",="-0.0281",="0.0204",="-0.0843*",="-0.0466",="0.00627",="-0.0669"
="",="(1.70)",="(2.34)",="(1.12)",="(-0.40)",="(1.89)",="(5.40)",="(0.88)",="(2.07)",="(1.58)",="(-0.83)",="(0.66)",="(-2.42)",="(-1.46)",="(0.17)",="(-1.79)"

="N",="506",="506",="369",="506",="506",="369",="466",="502",="506",="506",="506",="506",="506",="506",="506"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
