
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela",="va_ela"

="qoi10mean_pooled",="-0.0793***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-5.35)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0772***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-4.71)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.0678***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-3.62)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.0884***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-5.77)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0852***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-4.93)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0466**",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-2.59)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0541**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-2.98)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0348**",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-2.67)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0600***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-6.26)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.0211",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.65)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0234",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.76)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0160",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.46)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0364",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.06)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0299",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.73)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.164***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.23)"

="_cons",="0.149***",="0.124***",="0.111***",="0.174***",="0.155***",="0.102*",="0.105**",="0.0668*",="0.142***",="-0.0414",="-0.0442",="-0.0315",="-0.0611",="-0.0487",="-0.264***"
="",="(5.11)",="(4.46)",="(3.39)",="(5.55)",="(4.73)",="(2.42)",="(2.79)",="(2.46)",="(5.93)",="(-0.73)",="(-0.85)",="(-0.54)",="(-1.15)",="(-0.81)",="(-4.30)"

="N",="511",="511",="374",="511",="511",="374",="471",="507",="511",="511",="511",="511",="511",="511",="511"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
