
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela",="va_enrela"

="qoi10mean_pooled",="-0.0132*",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-1.97)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0269***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-3.67)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.0103",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-1.16)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00840",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-1.20)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.0203**",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-2.60)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.0345***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-4.17)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0231**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-2.76)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.00718",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-1.24)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0192***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-4.45)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0105",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.73)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0146",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(-1.07)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.0186",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(1.20)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0000347",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.00)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0287",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.57)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0205"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.17)"

="_cons",="0.0328*",="0.0519***",="0.0283",="0.0241",="0.0451**",="0.0901***",="0.0537**",="0.0217",="0.0544***",="0.0252",="0.0315",="-0.0238",="0.00717",="0.0490",="-0.0252"
="",="(2.48)",="(4.19)",="(1.82)",="(1.68)",="(3.06)",="(4.68)",="(3.10)",="(1.79)",="(5.02)",="(1.01)",="(1.37)",="(-0.92)",="(0.30)",="(1.84)",="(-0.91)"

="N",="506",="506",="369",="506",="506",="369",="466",="502",="506",="506",="506",="506",="506",="506",="506"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
