
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math",="va_math"

="qoi10mean_pooled",="-0.0971***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(-6.18)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.113***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-6.58)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="-0.0986***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(-4.89)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.107***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-6.61)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.127***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-7.01)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="-0.152***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(-8.35)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.101***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-5.26)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="-0.0587***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(-4.26)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.0916***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-9.31)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="0.0915**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(2.64)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0515",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(1.56)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="0.130***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(3.52)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.0643",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.75)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0473",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.07)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.203***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.92)"

="_cons",="0.186***",="0.186***",="0.170***",="0.214***",="0.235***",="0.349***",="0.203***",="0.119***",="0.223***",="-0.160**",="-0.0884",="-0.218***",="-0.101",="-0.0713",="-0.323***"
="",="(6.03)",="(6.40)",="(4.79)",="(6.47)",="(6.87)",="(8.25)",="(5.13)",="(4.12)",="(9.04)",="(-2.67)",="(-1.60)",="(-3.54)",="(-1.78)",="(-1.11)",="(-4.94)"

="N",="511",="511",="374",="511",="511",="374",="471",="507",="511",="511",="511",="511",="511",="511",="511"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
